season,date,home_team,away_team,home_goals,away_goals
Championnat D1 2007/2008,02.08.2008,ASAC Concorde,Nasr Sebkha,2,0
Championnat D1 2007/2008,02.08.2008,Police,Tidjikja,0,1
Championnat D1 2007/2008,01.08.2008,Ksar,SNIM,1,0
Championnat D1 2007/2008,01.08.2008,Mauritel Mobile,Armee,0,0
Championnat D1 2007/2008,01.08.2008,Tevragh-Zeina,FC Trarza,3,0
Championnat D1 2007/2008,29.07.2008,Garde Nationale,Nouadhibou,0,0
Championnat D1 2007/2008,26.07.2008,ASAC Concorde,Nouadhibou,1,0
Championnat D1 2007/2008,26.07.2008,Tevragh-Zeina,Mauritel Mobile,0,2
Championnat D1 2007/2008,25.07.2008,Ksar,Armee,3,0
Championnat D1 2007/2008,25.07.2008,Police,Nasr Sebkha,0,0
Championnat D1 2007/2008,25.07.2008,SNIM,Tidjikja,0,1
Championnat D1 2007/2008,19.07.2008,Ksar,ASAC Concorde,0,0
Championnat D1 2007/2008,18.07.2008,Nasr Sebkha,Tidjikja,0,0
Championnat D1 2007/2008,18.07.2008,Nouadhibou,Tevragh-Zeina,0,1
Championnat D1 2007/2008,18.07.2008,Police,Garde Nationale,1,1
Championnat D1 2007/2008,14.07.2008,Armee,SNIM,1,1
Championnat D1 2007/2008,11.07.2008,FC Trarza,Tidjikja,0,2
Championnat D1 2007/2008,05.07.2008,Garde Nationale,SNIM,2,1
Championnat D1 2007/2008,05.07.2008,Police,ASAC Concorde,0,2
Championnat D1 2007/2008,04.07.2008,Armee,Tevragh-Zeina,0,3
Championnat D1 2007/2008,04.07.2008,Ksar,Mauritel Mobile,0,0
Championnat D1 2007/2008,04.07.2008,Nouadhibou,Nasr Sebkha,2,1
Championnat D1 2007/2008,28.06.2008,Armee,ASAC Concorde,0,1
Championnat D1 2007/2008,28.06.2008,Police,Mauritel Mobile,0,4
Championnat D1 2007/2008,27.06.2008,Ksar,Garde Nationale,3,2
Championnat D1 2007/2008,27.06.2008,Nasr Sebkha,Tevragh-Zeina,3,0
Championnat D1 2007/2008,27.06.2008,SNIM,FC Trarza,2,0
Championnat D1 2007/2008,24.06.2008,Tidjikja,Nouadhibou,1,2
Championnat D1 2007/2008,21.06.2008,Armee,Garde Nationale,1,2
Championnat D1 2007/2008,21.06.2008,Ksar,Nouadhibou,0,0
Championnat D1 2007/2008,21.06.2008,Police,FC Trarza,1,2
Championnat D1 2007/2008,21.06.2008,SNIM,Tevragh-Zeina,4,1
Championnat D1 2007/2008,20.06.2008,ASAC Concorde,Tidjikja,2,0
Championnat D1 2007/2008,20.06.2008,Nasr Sebkha,Mauritel Mobile,1,0
Championnat D1 2007/2008,08.06.2008,Armee,Nasr Sebkha,1,3
Championnat D1 2007/2008,08.06.2008,ASAC Concorde,FC Trarza,5,1
Championnat D1 2007/2008,08.06.2008,Garde Nationale,Mauritel Mobile,1,1
Championnat D1 2007/2008,08.06.2008,Ksar,Police,4,2
Championnat D1 2007/2008,08.06.2008,Tevragh-Zeina,Tidjikja,0,2
Championnat D1 2007/2008,31.05.2008,Ksar,Tevragh-Zeina,4,1
Championnat D1 2007/2008,30.05.2008,Armee,Tidjikja,0,3
Championnat D1 2007/2008,30.05.2008,ASAC Concorde,Mauritel Mobile,0,1
Championnat D1 2007/2008,30.05.2008,Nasr Sebkha,Garde Nationale,1,1
Championnat D1 2007/2008,30.05.2008,Nouadhibou,FC Trarza,1,1
Championnat D1 2007/2008,27.05.2008,Police,SNIM,0,3
Championnat D1 2007/2008,25.05.2008,ASAC Concorde,Garde Nationale,3,0
Championnat D1 2007/2008,24.05.2008,Nasr Sebkha,SNIM,3,0
Championnat D1 2007/2008,24.05.2008,Nouadhibou,Mauritel Mobile,0,0
Championnat D1 2007/2008,24.05.2008,Police,Armee,1,0
Championnat D1 2007/2008,23.05.2008,ASAC Concorde,Tevragh-Zeina,2,1
Championnat D1 2007/2008,23.05.2008,FC Trarza,Ksar,0,0
Championnat D1 2007/2008,23.05.2008,Tidjikja,Garde Nationale,3,2
Championnat D1 2007/2008,18.05.2008,Nasr Sebkha,FC Trarza,0,0
